#{"t_start": 1778020685.626938, "env_id": "letter-env"}
r,l,t
-50.0,9,257.777409
-50.0,51,261.550612
-50.0,14,262.781179
-50.0,27,264.711768
-50.0,34,267.021145
-50.0,13,267.911114
-40.0,41,271.134421
-50.0,27,273.048043
-50.0,7,273.600464
-50.0,9,274.249595
-50.0,16,275.328455
-20.0,57,279.661121
-50.0,49,283.14072
-50.0,16,284.32686
-50.0,21,285.839838
-50.0,5,286.131372
-20.0,77,291.932833
-50.0,133,301.369413
-20.0,94,307.994713
-50.0,18,309.402669
-50.0,7,309.967974
-50.0,50,313.538924
-50.0,17,314.677236
-50.0,7,315.216746
-50.0,86,321.777014
-40.0,40,324.781103
-50.0,98,331.604639
-50.0,34,334.191036
-50.0,14,335.019136
-50.0,18,336.427513
-50.0,50,339.907617
-50.0,13,340.763797
-50.0,89,347.346535
-50.0,31,349.360052
-50.0,23,351.068042
-40.0,63,355.695677
-50.0,15,356.807386
-50.0,8,357.377169
-50.0,50,360.919353
-50.0,31,363.273057
-50.0,34,365.588067
-40.0,21,367.325645
-50.0,12,368.126401
-50.0,27,369.952751
-50.0,41,373.19966
-50.0,66,377.7839
-50.0,35,380.227507
-50.0,21,381.625893
-50.0,7,382.173107
-50.0,28,384.289887
-50.0,38,386.944323
-50.0,12,387.729896
-50.0,28,389.762498
-50.0,19,391.353581
-50.0,9,391.927021
-50.0,46,395.431933
-40.0,15,396.505076
-50.0,14,397.433341
-50.0,49,400.803554
-50.0,19,402.311058
-50.0,40,405.060646
-50.0,24,406.78517
-50.0,24,408.442745
-50.0,12,409.318229
-50.0,28,411.38023
-50.0,35,413.976594
-50.0,21,415.413147
-50.0,18,416.947388
-40.0,36,419.530599
-50.0,3,419.551823
-50.0,54,423.588259
-40.0,43,426.716904
-50.0,42,429.577802
-50.0,16,430.82666
-50.0,11,431.793379
-50.0,9,432.364045
-50.0,11,433.315215
120.0,61,437.746821
-70.0,11,438.607394
-50.0,7,439.263502
-50.0,52,442.902012
-50.0,17,444.142369
-50.0,76,449.480473
-50.0,28,451.614142
-50.0,9,452.224872
-50.0,43,455.269729
-50.0,13,456.121558
-40.0,87,462.393999
-50.0,25,464.028356
-50.0,12,464.928803
-50.0,31,467.268176
-50.0,11,468.106767
-50.0,31,470.044922
-50.0,87,476.463802
-50.0,11,477.274936
-50.0,35,479.806361
-50.0,16,480.91683
-50.0,34,483.35913
-50.0,7,483.951207
-50.0,29,485.98122
-50.0,34,488.426606
-50.0,14,489.393129
-50.0,15,490.585051
-50.0,9,491.146323
-50.0,11,491.953282
-40.0,53,495.594893
-40.0,49,499.23851
-50.0,120,507.717951
-50.0,5,508.251864
-50.0,16,509.41957
-50.0,12,510.272121
-50.0,14,511.194842
-50.0,3,511.547626
-40.0,40,514.54408
-50.0,6,514.841731
-50.0,85,521.246306
-40.0,50,524.596456
-50.0,3,524.957628
-40.0,55,529.065083
-50.0,13,529.95839
-50.0,30,532.024082
-50.0,25,534.063042
-40.0,23,535.462022
-50.0,5,536.014271
-50.0,13,536.873569
-50.0,20,538.306494
-40.0,24,540.092903
-50.0,19,541.520592
120.0,54,545.13213
-70.0,16,546.379197
-50.0,13,547.316833
-50.0,13,548.508693
-50.0,15,549.321916
-50.0,24,550.990301
-50.0,12,551.873877
-50.0,21,553.67206
-50.0,69,558.481104
-50.0,45,561.898058
-50.0,16,563.019717
-50.0,6,563.585911
-50.0,19,564.822965
-50.0,11,565.762566
-50.0,38,568.686799
-50.0,10,569.239684
-50.0,27,571.276981
-40.0,54,575.20032
-50.0,37,577.958672
-50.0,30,580.035463
-40.0,36,582.466632
-40.0,53,586.278017
-50.0,8,586.875282
-40.0,24,588.609076
-50.0,36,591.197388
-50.0,33,593.945623
-50.0,38,596.500803
-50.0,32,598.863361
-50.0,16,600.000131
-50.0,12,600.875837
-50.0,57,604.812286
-50.0,20,606.373957
-50.0,13,607.46169
-50.0,11,608.060754
-50.0,27,610.027666
-50.0,18,611.497004
-50.0,12,612.465703
-50.0,14,613.369238
-50.0,41,616.144211
-50.0,3,616.451196
-40.0,57,620.65085
-50.0,46,624.027294
-50.0,11,624.937333
-50.0,45,628.286704
-50.0,10,628.842294
-50.0,17,630.307071
-50.0,3,630.324156
-40.0,74,635.914561
-50.0,3,636.203787
-50.0,5,636.486266
-50.0,9,637.092201
-50.0,54,641.227735
-50.0,7,641.553157
-50.0,5,642.120827
-50.0,16,643.236708
-50.0,9,643.84586
-50.0,62,648.318198
-50.0,11,649.139632
-50.0,7,649.757908
-50.0,107,657.683191
-50.0,11,658.265843
-50.0,25,660.240648
-50.0,11,660.800775
-40.0,106,668.691661
-50.0,16,669.797069
-50.0,8,670.496089
-50.0,34,672.806386
-50.0,35,675.395507
-50.0,5,675.718129
-50.0,15,676.907746
-50.0,26,678.90896
-50.0,7,679.212003
-50.0,26,681.168592
-40.0,77,686.605894
-50.0,27,688.579002
-40.0,33,690.948345
-50.0,22,692.818509
-40.0,24,694.514215
-50.0,11,695.089416
-40.0,29,697.394406
-50.0,35,699.785867
-50.0,20,701.131975
-50.0,38,703.972122
-50.0,25,705.793973
-50.0,51,709.56774
-50.0,51,713.27566
-50.0,5,713.59048
-50.0,13,714.490893
-50.0,39,717.38146
-50.0,5,717.714914
-50.0,18,719.103895
-50.0,108,726.734897
-50.0,31,728.758096
-50.0,11,729.695472
-50.0,10,730.643358
-50.0,9,731.220169
-50.0,22,732.651022
-50.0,25,734.655719
-50.0,10,735.275927
-50.0,9,735.916784
-50.0,45,739.337262
-50.0,18,740.47405
-50.0,13,741.296952
-50.0,13,742.437839
-50.0,21,743.910428
-50.0,12,744.837147
-50.0,9,745.409904
-50.0,21,746.883952
-50.0,21,748.670203
-40.0,70,753.655995
-50.0,30,756.062372
-50.0,3,756.074648
-50.0,36,758.796824
-50.0,40,761.6763
-50.0,57,766.180889
-50.0,23,767.675593
-50.0,20,769.231013
-50.0,16,770.289321
-50.0,34,772.908644
-50.0,11,773.765435
-50.0,14,774.785199
-50.0,7,775.376843
-50.0,10,775.943147
-50.0,3,776.202369
-40.0,44,779.431697
-50.0,3,779.724955
-40.0,35,782.412109
-40.0,63,786.857657
-50.0,5,787.413199
-50.0,25,789.072668
-50.0,32,791.398558
-50.0,45,794.527215
-40.0,34,797.068833
-50.0,7,797.40488
-50.0,55,801.371778
-20.0,43,804.518665
-50.0,27,806.572391
-50.0,13,807.417449
-50.0,15,808.566752
-50.0,32,810.772032
-50.0,14,811.698422
-40.0,28,813.786821
-50.0,82,819.990405
-50.0,15,821.01063
-50.0,26,823.215109
-50.0,5,823.532695
-50.0,29,825.713507
-20.0,68,830.848973
-50.0,11,831.709215
-50.0,14,832.870637
-50.0,22,834.427889
-50.0,9,835.022361
-50.0,11,835.871132
-50.0,11,836.712134
-40.0,35,839.230932
-50.0,5,839.628444
-50.0,10,840.238441
-40.0,42,843.232171
-50.0,17,844.423868
-50.0,5,844.753955
-50.0,7,845.351481
-50.0,20,846.830005
-40.0,61,851.226017
-50.0,14,852.400038
-40.0,68,857.487701
-40.0,23,859.280743
-20.0,75,864.541507
-50.0,20,866.158928
-50.0,15,867.314772
-50.0,55,871.550574
-50.0,18,872.685542
-50.0,15,873.801889
-40.0,39,876.58854
-50.0,26,878.453791
-50.0,11,879.284985
-50.0,3,879.564373
-50.0,19,881.081373
-50.0,7,881.365671
-50.0,15,882.523694
-50.0,81,888.482771
-50.0,9,889.328089
-50.0,33,891.722984
-50.0,60,895.844092
-40.0,39,898.797716
-50.0,13,899.747395
-50.0,99,906.997857
-50.0,18,908.075659
-50.0,36,910.674511
-50.0,71,915.932829
-50.0,10,916.535798
-50.0,24,918.422343
-50.0,109,926.464938
-50.0,58,930.320147
-50.0,7,930.91716
-50.0,5,931.301959
-40.0,26,933.328117
-50.0,13,934.123329
-50.0,29,936.190671
-40.0,26,938.372418
-50.0,17,939.575489
-50.0,20,941.016022
-50.0,19,942.487151
-50.0,13,943.413924
-40.0,25,945.271197
-50.0,20,946.690755
-50.0,7,947.326166
-50.0,11,948.225613
-50.0,18,949.481457
-50.0,15,950.690416
-50.0,9,951.238421
-50.0,22,952.92331
-50.0,24,954.659739
-50.0,101,961.724675
-50.0,32,964.194148
-50.0,34,966.542853
-50.0,5,967.091127
-50.0,16,968.267223
-50.0,7,968.572066
-40.0,37,971.578297
-50.0,5,971.88339
-50.0,41,974.721852
120.0,40,977.582354
-70.0,17,978.748823
-50.0,7,979.292563
-50.0,40,982.104879
-50.0,38,985.146367
-50.0,7,985.433612
-50.0,27,987.392099
-50.0,7,987.967407
-50.0,16,989.227033
-50.0,10,989.76315
-50.0,30,992.11787
-40.0,42,994.991275
-50.0,21,996.759804
-50.0,13,997.68201
-40.0,43,1000.754898
-50.0,21,1002.274524
-50.0,5,1002.579379
-50.0,9,1003.224389
-50.0,3,1003.500053
-50.0,3,1003.775289
-50.0,43,1006.835066
-20.0,53,1010.942691
-40.0,44,1013.980225
-50.0,19,1015.530225
-50.0,72,1020.803498
-50.0,6,1021.115328
-50.0,34,1023.787174
-50.0,37,1026.280381
-50.0,11,1027.106485
-50.0,5,1027.442523
-50.0,51,1031.381093
-40.0,70,1036.236148
-50.0,9,1036.846446
-50.0,10,1037.655258
-50.0,5,1037.934204
-50.0,19,1039.344773
-50.0,13,1040.221994
