#{"t_start": 1777998632.716299, "env_id": "letter-env"}
r,l,t
-30.0,24,446.786828
-30.0,38,450.133081
-50.0,22,451.911937
-30.0,76,458.065655
-30.0,19,459.801992
-30.0,35,462.684444
-50.0,7,463.326154
-30.0,28,465.644426
-50.0,5,466.013758
-50.0,5,466.46018
-30.0,20,468.150369
-50.0,8,468.81343
-30.0,36,473.969253
-30.0,62,479.301679
-30.0,21,481.028911
-30.0,64,486.24918
-10.0,38,489.226781
-30.0,25,491.645801
-50.0,30,493.831779
-50.0,3,494.148504
-30.0,21,495.751424
-50.0,7,496.380446
-50.0,11,497.31502
-50.0,3,497.396903
-50.0,3,497.725596
-30.0,42,501.558111
-30.0,36,504.614472
-30.0,20,506.479468
-30.0,42,510.030018
-30.0,26,512.503674
-30.0,16,513.824817
-30.0,61,519.10791
-30.0,48,523.16664
-30.0,17,524.603601
-30.0,25,526.590685
-30.0,27,528.821115
-30.0,21,530.51763
-30.0,21,532.558417
-10.0,35,535.414773
-10.0,59,540.49805
-30.0,50,545.126742
-10.0,109,554.535549
-30.0,28,557.059833
-30.0,16,558.515347
-30.0,26,560.67269
-50.0,7,561.334147
-30.0,13,562.473882
-30.0,17,564.191902
-30.0,32,566.971973
-30.0,22,568.751663
-30.0,16,570.149415
-30.0,27,572.614855
-30.0,17,574.026514
-30.0,10,575.072189
-50.0,7,575.528784
-30.0,66,581.280087
-50.0,9,581.937213
-30.0,45,585.849814
-50.0,5,586.462494
-30.0,23,588.305016
-50.0,8,588.972585
-30.0,25,591.418269
-50.0,5,591.70588
-30.0,28,594.198202
-30.0,73,600.405497
-30.0,38,603.810425
-30.0,35,606.525709
-30.0,49,611.149281
-30.0,19,612.688122
-30.0,12,613.793811
-30.0,26,616.18546
-50.0,11,617.144567
-30.0,21,618.937427
-30.0,23,621.011315
-10.0,73,627.192563
-30.0,91,635.750424
-10.0,55,640.280269
-50.0,7,640.887776
-30.0,15,642.522349
-30.0,64,649.412078
-10.0,33,652.62043
-30.0,14,654.139475
-30.0,56,658.957169
-30.0,24,661.214035
-30.0,21,663.189666
-30.0,40,667.54634
-30.0,20,669.347053
-50.0,5,669.739241
-10.0,41,674.102487
-10.0,64,680.782824
-10.0,96,690.112313
-30.0,133,702.876441
130.0,33,705.692223
-30.0,43,709.40272
-30.0,100,718.153782
-30.0,85,725.3935
-50.0,12,726.330131
-30.0,69,732.883719
-30.0,38,736.180064
40.0,200,753.997364
-50.0,12,754.90948
-10.0,62,760.021504
-10.0,85,767.353597
-10.0,179,783.272345
-30.0,87,790.892306
-10.0,128,801.725619
-10.0,143,814.197057
-40.0,64,819.584602
-30.0,96,827.919712
-10.0,122,838.141618
20.0,200,855.702838
20.0,200,874.436106
