#{"t_start": 1777765046.081346, "env_id": "letter-env"}
r,l,t
-20.0,37,247.416972
0.0,50,248.209921
-20.0,25,248.411758
0.0,112,249.712633
-20.0,39,250.414292
0.0,39,251.650657
-20.0,36,252.446462
-20.0,9,252.528997
0.0,65,253.417525
-20.0,11,253.557122
-20.0,19,253.765208
-20.0,38,254.278821
20.0,50,254.888562
-20.0,23,255.117092
-20.0,48,255.747745
-20.0,43,256.386957
0.0,40,256.74593
0.0,46,257.120984
20.0,32,257.913284
-20.0,43,258.467
20.0,58,259.336214
20.0,100,260.329974
0.0,23,260.524588
-20.0,5,260.571164
20.0,49,261.46733
0.0,53,261.924013
-20.0,5,261.959144
-20.0,20,262.113073
0.0,36,262.463089
0.0,27,262.85656
-20.0,40,263.219102
-20.0,7,263.427331
-20.0,15,263.548693
0.0,52,263.975455
-20.0,104,265.240527
-20.0,53,265.824926
-20.0,39,266.368301
-20.0,36,267.080501
0.0,19,267.206301
160.0,69,267.728782
-20.0,11,267.834437
0.0,62,268.652915
-20.0,9,268.714094
-20.0,24,269.111806
-20.0,15,269.316581
0.0,58,269.862413
0.0,55,270.435777
-20.0,7,270.495099
-20.0,7,270.554006
0.0,28,270.868227
0.0,43,271.515217
0.0,24,271.698672
-20.0,15,271.828527
0.0,36,272.199965
0.0,31,272.708023
-20.0,11,272.874006
0.0,63,273.474014
0.0,22,303.57539
0.0,40,304.221077
0.0,21,304.365052
0.0,70,304.956021
-20.0,5,305.014641
-20.0,75,305.94159
0.0,51,306.599245
-20.0,7,306.682174
-20.0,58,307.647908
-20.0,15,307.761242
-20.0,39,308.071042
-20.0,13,308.164628
0.0,39,308.659583
0.0,92,309.832472
-20.0,5,309.871734
-20.0,19,310.025075
0.0,21,310.95479
-20.0,29,311.971379
20.0,85,313.806122
0.0,20,313.987528
-20.0,9,314.299793
-20.0,7,314.489656
-20.0,27,314.73898
-20.0,44,315.326521
20.0,128,317.16296
0.0,52,317.824169
0.0,62,318.328963
0.0,37,318.935939
-20.0,23,319.145044
-20.0,62,319.891664
-20.0,7,319.965867
-20.0,53,320.571122
0.0,20,321.135812
0.0,22,321.328088
-20.0,53,321.780985
0.0,68,322.871746
-20.0,30,323.390571
-20.0,60,323.90806
0.0,36,324.580971
-20.0,26,324.782036
0.0,32,325.090893
-20.0,84,325.804778
-20.0,43,326.935968
-20.0,43,327.836349
0.0,60,328.410943
0.0,92,329.279718
-20.0,10,329.363101
0.0,32,329.88115
0.0,19,330.036477
-20.0,15,330.190909
-20.0,5,330.228369
0.0,22,330.423369
0.0,48,330.903308
-20.0,7,330.945731
-20.0,3,330.976312
-20.0,20,331.200167
-20.0,3,331.403353
-20.0,7,331.475208
-20.0,65,332.255955
-20.0,12,332.358864
-20.0,7,332.430102
-20.0,28,332.661612
-20.0,13,332.761922
-20.0,9,332.828382
-20.0,46,333.523731
-20.0,17,333.641399
-20.0,26,333.865106
0.0,41,334.389559
0.0,48,335.044211
0.0,15,335.823785
0.0,91,369.130349
0.0,22,369.305528
-20.0,39,370.047544
0.0,40,370.624027
0.0,42,371.33899
-20.0,29,371.74145
-20.0,21,372.044239
-20.0,34,372.349827
0.0,85,373.27659
-20.0,26,373.509359
-20.0,39,373.846627
-20.0,13,374.238203
0.0,67,374.747938
-20.0,5,374.794376
-20.0,15,375.270674
0.0,55,375.82115
0.0,20,375.975567
0.0,35,376.744644
0.0,48,377.1768
20.0,169,378.874278
-20.0,9,378.939923
-20.0,26,379.124874
-20.0,24,379.48618
-20.0,39,379.902824
-20.0,5,380.035953
-20.0,9,380.141306
-20.0,41,380.791366
-20.0,24,381.025897
-20.0,3,381.111903
-20.0,5,381.457527
0.0,20,381.812158
0.0,53,382.237979
0.0,42,382.904755
-20.0,42,383.474566
-20.0,10,383.570579
0.0,135,384.95655
-20.0,40,385.628364
0.0,77,386.742503
0.0,45,387.133588
-20.0,89,388.160152
-20.0,16,388.641481
0.0,72,389.193863
0.0,51,389.716133
0.0,31,389.972913
-20.0,17,390.091556
-20.0,33,390.837626
0.0,36,391.23535
-20.0,9,391.364239
-20.0,72,392.284892
-20.0,23,392.546486
-20.0,25,392.816262
0.0,25,393.212193
0.0,12,393.325751
0.0,22,393.758218
-20.0,8,393.833628
-20.0,5,393.871667
-20.0,17,394.15723
-20.0,22,394.363184
0.0,78,395.011668
0.0,64,396.124721
-20.0,42,396.653811
0.0,78,397.487565
-20.0,22,397.695368
0.0,119,399.33097
-20.0,42,399.848404
-20.0,29,430.40637
-20.0,21,430.795528
-20.0,8,431.083713
0.0,67,432.154741
0.0,44,432.678308
0.0,23,433.056394
0.0,33,433.323856
-20.0,92,434.69568
0.0,56,435.328724
0.0,16,435.501872
0.0,10,435.811338
-20.0,35,436.207668
0.0,33,436.715543
0.0,48,437.277422
-20.0,7,437.752162
0.0,70,438.624351
0.0,12,438.758243
-20.0,69,439.369827
-20.0,40,440.063123
-20.0,14,440.208698
-20.0,41,440.562014
0.0,40,441.324123
0.0,48,442.120153
-20.0,146,443.889139
0.0,101,444.914539
0.0,198,447.883047
0.0,31,448.122208
0.0,11,448.229627
0.0,26,448.447415
-20.0,87,450.163224
-20.0,7,450.271592
0.0,27,450.739484
-20.0,21,451.144545
-20.0,38,451.906021
-20.0,35,452.419843
-20.0,14,452.646883
-20.0,76,453.399302
-20.0,63,453.959338
0.0,31,454.517463
-20.0,36,454.823377
0.0,23,454.998498
0.0,148,458.340351
-20.0,5,458.379138
-20.0,23,458.799086
-20.0,119,460.286887
0.0,179,462.483224
-20.0,7,462.55091
-20.0,5,462.589176
0.0,127,464.484191
-20.0,11,464.725558
-20.0,21,464.90684
-20.0,38,496.916358
-20.0,26,497.315417
10.0,200,500.000866
-20.0,86,500.923722
-20.0,143,502.793212
-20.0,7,502.91732
-20.0,61,503.585166
-20.0,118,505.156963
0.0,162,507.428604
-20.0,61,508.040318
-20.0,45,508.54791
-20.0,23,508.770762
-20.0,50,509.8461
-20.0,91,510.860801
-20.0,17,511.484063
-20.0,5,511.562303
-20.0,33,512.076111
0.0,160,514.70794
-20.0,10,514.824074
0.0,115,516.218398
-20.0,5,516.258359
-20.0,140,518.222974
-20.0,77,519.658601
30.0,200,522.315308
-20.0,91,523.422815
-20.0,57,524.188123
-20.0,5,524.279319
0.0,31,524.78937
0.0,73,525.729266
-20.0,63,526.464442
-20.0,22,526.713405
-20.0,11,526.867256
-20.0,108,528.022461
-20.0,93,529.312387
-20.0,27,529.653697
-20.0,21,529.895865
-20.0,8,529.97085
-20.0,23,530.166712
-20.0,73,564.211453
-20.0,61,564.965779
-20.0,94,566.290033
-20.0,25,566.989609
20.0,61,567.583228
0.0,76,568.561367
-20.0,135,569.977712
0.0,54,570.729794
-20.0,63,571.738827
0.0,89,573.124556
0.0,44,573.49071
0.0,65,574.178214
-20.0,25,574.587856
-20.0,27,575.037565
0.0,40,575.39686
-20.0,9,575.473803
0.0,36,576.342699
0.0,42,576.828894
-20.0,95,578.35934
30.0,200,580.717166
0.0,144,582.357639
0.0,15,582.530958
-20.0,54,583.340088
-20.0,54,584.165046
-20.0,49,585.06256
160.0,58,585.537338
-20.0,5,585.595727
-20.0,22,585.87529
-20.0,47,586.525421
20.0,139,588.386265
-20.0,185,590.552924
20.0,118,591.776633
30.0,200,594.539044
-20.0,27,594.876096
-20.0,35,595.201542
-20.0,41,595.799253
-20.0,15,596.029383
-20.0,32,628.024624
-20.0,34,628.327434
-20.0,171,630.829632
20.0,151,632.993773
10.0,200,635.64792
-20.0,175,637.675578
-20.0,122,639.094505
-20.0,43,639.72947
20.0,181,642.055032
-20.0,65,643.000003
-20.0,3,643.03016
-20.0,28,643.344366
-20.0,63,644.044282
-20.0,115,645.903187
10.0,200,648.258895
-20.0,49,648.90013
-20.0,16,649.329109
-20.0,39,649.693359
-20.0,121,651.057868
-20.0,156,652.924881
-20.0,10,653.004311
-20.0,52,653.638731
-20.0,12,653.82699
-20.0,58,654.399702
-20.0,16,654.766162
-20.0,16,654.909052
-20.0,49,656.008171
-20.0,27,656.25907
-20.0,107,657.470435
-20.0,19,658.05483
10.0,200,711.008167
-20.0,44,712.060566
-20.0,16,712.515963
10.0,200,716.158208
-20.0,79,717.848632
-20.0,13,717.961665
-20.0,49,718.714132
-20.0,35,719.077087
-20.0,50,719.679161
-20.0,26,719.987592
10.0,200,723.117201
10.0,200,729.469754
10.0,200,735.221062
10.0,200,738.539481
-20.0,129,740.18259
-20.0,43,740.79016
-20.0,98,744.105323
-20.0,66,746.044422
-20.0,97,752.254413
-20.0,138,757.607136
-20.0,112,759.902745
10.0,200,764.522528
-20.0,127,766.512668
-20.0,55,767.022174
-20.0,17,767.52265
-20.0,20,768.218799
10.0,200,866.121027
10.0,200,886.995246
10.0,200,905.578639
10.0,200,923.981609
10.0,200,943.909669
-20.0,104,950.530952
-20.0,35,951.398086
-20.0,93,954.644406
-20.0,102,957.634757
-20.0,131,961.100159
-20.0,189,969.863897
-20.0,28,970.840458
-20.0,35,972.616271
-20.0,34,973.78492
-20.0,142,978.06461
-20.0,114,980.939148
-20.0,55,981.781766
10.0,200,999.417078
-20.0,14,1000.807256
10.0,200,1016.7687
10.0,200,1090.872889
-20.0,24,1092.164224
-20.0,160,1099.165569
10.0,200,1105.94897
-20.0,152,1110.742335
-20.0,143,1115.747605
-20.0,185,1118.905786
-20.0,121,1120.653957
-20.0,176,1122.548357
-20.0,37,1123.09672
-20.0,43,1123.621724
10.0,200,1126.447177
-20.0,88,1127.575967
10.0,200,1130.101756
10.0,200,1132.306118
10.0,200,1134.857276
-20.0,113,1136.390131
10.0,200,1166.762023
-20.0,40,1167.232035
-20.0,88,1168.417713
-20.0,21,1168.832964
10.0,200,1170.764905
-20.0,113,1172.35637
10.0,200,1175.102593
10.0,200,1177.541263
10.0,200,1180.261259
10.0,200,1182.773631
-20.0,99,1184.079808
-20.0,168,1186.242964
-20.0,10,1186.317191
-20.0,26,1186.588409
-20.0,52,1187.287261
-20.0,71,1188.539511
-20.0,24,1188.809994
-20.0,120,1190.564985
10.0,200,1193.064066
-20.0,73,1194.235834
-20.0,74,1195.150073
-20.0,88,1196.293336
10.0,200,1242.980739
-20.0,83,1244.605425
-20.0,99,1245.96565
10.0,200,1248.26676
-20.0,48,1249.157314
-20.0,25,1249.458828
10.0,200,1252.055715
10.0,200,1254.94197
10.0,200,1258.067589
10.0,200,1260.706751
10.0,200,1268.726064
10.0,200,1273.100805
10.0,200,1275.458858
-20.0,71,1276.353792
10.0,200,1278.929739
10.0,200,1281.294357
10.0,200,1317.610274
-20.0,130,1321.773139
10.0,200,1334.817266
-20.0,117,1338.548545
10.0,200,1344.898158
-20.0,140,1349.662353
10.0,200,1355.732631
30.0,200,1362.702616
10.0,200,1369.268524
0.0,136,1373.626652
10.0,200,1380.164877
-20.0,159,1385.776033
10.0,200,1392.450429
-20.0,69,1395.378186
-20.0,35,1396.820553
-20.0,91,1399.669728
10.0,200,1464.558408
0.0,74,1467.068661
-20.0,33,1468.352873
-20.0,173,1473.847573
10.0,200,1480.194126
-20.0,104,1484.331692
10.0,200,1491.144831
-20.0,16,1491.749812
-20.0,34,1492.715098
10.0,200,1499.632406
-20.0,111,1503.121601
-20.0,131,1507.393327
-20.0,181,1513.135556
-20.0,63,1515.995403
10.0,200,1522.493037
10.0,200,1529.255696
-20.0,35,1530.459165
0.0,125,1534.39526
10.0,200,1540.68039
-20.0,145,1546.874877
-20.0,31,1548.208723
-20.0,136,1627.156879
-20.0,75,1630.687765
-20.0,15,1631.247568
-20.0,40,1633.770152
-20.0,57,1636.930723
-20.0,197,1646.60006
-20.0,127,1652.672209
-20.0,37,1654.208271
-20.0,130,1662.408898
-20.0,57,1664.76697
-20.0,111,1670.249515
10.0,200,1682.402719
-20.0,29,1683.162619
-20.0,98,1688.32984
0.0,55,1691.447683
-20.0,106,1695.428553
-20.0,161,1703.970811
-20.0,83,1708.386962
10.0,200,1719.389376
10.0,200,1730.313486
-20.0,183,1740.296175
10.0,200,1749.754681
-20.0,77,1838.615759
-20.0,44,1840.817125
-20.0,13,1841.641855
0.0,77,1845.810767
-20.0,25,1847.09709
10.0,200,1859.755066
10.0,200,1869.423925
10.0,200,1878.639469
-20.0,25,1879.688907
10.0,200,1889.501222
10.0,200,1899.778391
0.0,199,1908.982837
10.0,200,1918.959939
-20.0,133,1925.769512
10.0,200,1934.690573
10.0,200,1944.383501
-20.0,89,1949.056923
10.0,200,1957.746558
