#{"t_start": 1777995540.1209002, "env_id": "letter-env"}
r,l,t
30.0,26,495.140191
-20.0,13,496.152614
-20.0,21,497.858774
-20.0,11,498.842146
-20.0,28,501.275776
-20.0,3,501.597573
-20.0,14,502.672329
-20.0,3,503.034296
-20.0,16,504.358662
30.0,48,508.437524
-20.0,11,509.582224
30.0,10,510.415189
-20.0,23,512.449436
30.0,36,515.7078
-20.0,15,517.051566
-20.0,3,517.100594
30.0,31,520.070429
-20.0,13,521.153485
30.0,36,524.276215
30.0,43,528.21983
-20.0,21,529.921953
30.0,34,532.979014
-20.0,23,535.161783
-20.0,8,535.785012
30.0,108,545.292242
30.0,29,547.709649
30.0,40,551.095529
-20.0,14,552.217379
-20.0,25,554.635359
-20.0,23,556.200167
30.0,35,559.286819
30.0,33,562.143442
-20.0,19,564.009336
-20.0,15,565.378334
30.0,22,567.152566
-20.0,5,567.80806
-20.0,11,568.552794
-20.0,9,569.551485
-20.0,3,569.599602
-20.0,5,570.373674
-20.0,15,571.464786
-20.0,14,572.785851
-20.0,25,574.821898
30.0,34,577.795051
30.0,16,579.307623
30.0,46,583.141023
-20.0,23,585.188334
-20.0,23,587.051312
-20.0,35,589.712918
30.0,45,594.091514
-20.0,12,595.056731
30.0,22,596.911095
30.0,49,601.034877
-20.0,23,603.074793
30.0,16,604.446652
30.0,16,605.845437
-20.0,20,607.551605
-20.0,3,607.91648
30.0,28,610.247277
30.0,62,615.439745
30.0,67,621.657784
-20.0,38,625.129596
30.0,17,626.604306
70.0,27,629.210026
-20.0,15,630.301171
-20.0,3,630.640405
-20.0,35,633.620557
30.0,120,644.731647
0.0,15,646.01941
-20.0,7,646.356303
-20.0,20,648.228094
-20.0,18,649.86524
30.0,19,651.529262
30.0,33,654.272927
30.0,22,656.185979
-20.0,7,656.877718
-20.0,5,657.220468
-20.0,25,659.542299
30.0,31,662.116414
30.0,18,663.833099
30.0,22,665.545496
70.0,44,669.49462
70.0,33,672.781615
70.0,34,675.657968
210.0,63,681.411746
60.0,34,684.331639
-20.0,5,684.945122
30.0,54,689.657565
30.0,14,691.160492
-20.0,9,691.900934
30.0,20,693.662017
30.0,87,701.391489
-20.0,5,701.757071
30.0,47,706.101312
30.0,50,710.295261
30.0,65,716.165244
-20.0,9,717.19772
30.0,52,722.199507
0.0,33,724.98643
-20.0,5,725.376143
30.0,40,729.167589
-20.0,22,731.15227
30.0,18,732.676086
-20.0,3,732.969757
30.0,16,734.480713
30.0,16,735.949236
30.0,30,738.424657
30.0,33,741.641946
30.0,45,745.883179
70.0,56,750.903269
70.0,42,754.426377
0.0,17,755.993425
30.0,100,765.320532
-20.0,5,765.643995
0.0,31,768.784953
30.0,20,770.626997
-20.0,14,771.749329
-20.0,7,772.549918
-20.0,7,773.288014
30.0,44,777.472674
-20.0,7,777.87436
30.0,32,780.823824
30.0,54,785.96594
-20.0,9,786.679881
30.0,34,789.832256
30.0,16,791.297675
30.0,19,792.900798
30.0,25,795.491002
30.0,26,797.708819
-20.0,15,799.062875
30.0,39,802.64071
30.0,31,805.072057
30.0,29,807.896927
-20.0,19,809.357823
-20.0,3,809.687024
-20.0,13,810.799903
30.0,48,815.166042
30.0,66,821.339688
30.0,54,826.197404
30.0,20,828.035282
0.0,36,831.188214
30.0,30,834.08964
30.0,15,835.500222
30.0,33,838.39013
30.0,60,844.020357
-20.0,9,844.706281
70.0,63,850.649013
70.0,97,859.554369
30.0,20,861.398722
-20.0,10,862.292872
0.0,35,865.224247
30.0,29,868.096053
-20.0,9,868.867041
-20.0,3,869.265181
30.0,41,873.185296
70.0,80,880.2872
70.0,100,889.296351
70.0,34,892.234232
30.0,37,895.723059
70.0,32,898.914443
30.0,13,900.098767
30.0,90,908.466199
30.0,14,909.938874
0.0,33,912.856599
70.0,98,922.513903
30.0,38,925.937928
30.0,96,934.881501
30.0,53,939.751498
30.0,97,948.835924
30.0,16,950.222079
70.0,48,954.645006
0.0,22,956.445748
70.0,100,965.667291
0.0,27,968.121299
70.0,104,978.218879
-20.0,5,978.639268
-20.0,16,980.041334
70.0,85,987.839665
30.0,140,1001.021405
210.0,69,1007.255891
20.0,53,1012.276217
0.0,60,1017.784333
70.0,23,1019.879735
70.0,176,1036.810778
0.0,34,1039.879527
0.0,27,1042.370414
0.0,33,1045.418701
-20.0,17,1046.822183
-20.0,5,1047.557362
-20.0,7,1047.969624
70.0,104,1057.925539
70.0,93,1066.912629
70.0,82,1074.466887
70.0,90,1083.451635
70.0,174,1099.186169
30.0,83,1106.921227
-20.0,7,1107.505123
30.0,72,1114.175689
-20.0,21,1116.141744
-20.0,17,1117.593615
-20.0,3,1117.958413
0.0,33,1120.992401
-20.0,33,1124.162456
-20.0,5,1124.849978
-20.0,13,1125.952047
30.0,200,1144.769425
-30.0,7,1145.46939
-20.0,13,1146.550497
0.0,46,1150.838109
0.0,46,1155.442932
30.0,93,1164.474151
30.0,20,1166.329528
-20.0,14,1167.668339
30.0,121,1179.205656
0.0,110,1189.246696
30.0,41,1193.373779
-20.0,19,1194.704131
0.0,52,1199.684214
-20.0,51,1204.780572
-20.0,49,1209.435301
-20.0,30,1212.384545
-20.0,25,1214.608993
30.0,91,1223.144124
-20.0,9,1223.924389
-20.0,71,1230.549272
-20.0,5,1230.909703
-20.0,3,1231.262296
70.0,133,1244.098347
210.0,155,1258.899576
-30.0,3,1259.265091
0.0,161,1274.78711
-20.0,27,1277.406404
0.0,86,1285.234083
30.0,73,1292.079367
70.0,142,1306.084104
30.0,80,1313.841902
-20.0,11,1314.967393
0.0,67,1321.383364
-20.0,22,1323.455372
-20.0,16,1325.067983
-20.0,14,1326.201521
-20.0,17,1328.005767
30.0,200,1347.440223
-10.0,58,1352.942806
-20.0,3,1353.28083
210.0,135,1366.190309
-30.0,11,1366.965875
210.0,84,1375.233984
-30.0,48,1380.037788
60.0,200,1399.648118
-10.0,89,1445.700611
70.0,104,1455.677764
-20.0,8,1456.440153
0.0,103,1466.396257
70.0,34,1469.764244
-20.0,3,1470.142558
0.0,91,1478.63937
0.0,31,1481.808009
0.0,40,1485.556422
30.0,77,1493.112249
70.0,179,1510.554479
-20.0,16,1512.116405
70.0,153,1526.804571
-20.0,3,1527.171891
-20.0,28,1529.729797
-20.0,23,1532.239221
-20.0,7,1532.990267
70.0,40,1536.776388
210.0,148,1551.151037
20.0,94,1560.287606
210.0,143,1574.550531
50.0,200,1594.37727
-30.0,13,1595.512046
0.0,27,1598.255388
0.0,67,1605.100707
-20.0,36,1608.520079
30.0,33,1611.551959
70.0,109,1622.284497
0.0,72,1629.420154
-20.0,31,1632.50163
100.0,200,1652.288515
-10.0,103,1662.873277
-20.0,40,1666.861338
210.0,181,1684.876505
-10.0,123,1697.371419
30.0,92,1706.532202
70.0,104,1716.826149
70.0,34,1720.061865
0.0,48,1724.864486
30.0,200,1745.298612
-30.0,16,1746.877965
-20.0,33,1749.995894
0.0,107,1760.814499
-20.0,46,1765.506286
0.0,127,1777.911398
-20.0,39,1781.741315
100.0,200,1801.663022
-30.0,23,1803.967505
0.0,155,1819.794414
210.0,166,1836.435937
-30.0,25,1838.85289
0.0,37,1842.817298
-20.0,42,1846.674577
-20.0,33,1850.099024
-20.0,9,1851.183038
0.0,37,1854.879986
100.0,200,1875.354276
0.0,200,1895.95064
-30.0,37,1899.385575
30.0,200,1920.088291
-30.0,15,1921.652732
-20.0,29,1924.595491
-20.0,48,1929.361937
-20.0,18,1931.227359
-20.0,92,1940.817211
10.0,200,1961.291086
-30.0,190,1981.025282
10.0,200,2001.837311
-30.0,33,2005.154731
-20.0,7,2005.851044
-20.0,33,2009.06573
10.0,200,2029.288003
-30.0,121,2041.93903
-20.0,65,2048.746709
-20.0,32,2052.090284
-20.0,27,2054.847747
0.0,168,2072.558011
-20.0,112,2084.036037
-20.0,22,2086.072158
-20.0,56,2091.951423
-20.0,13,2093.232272
-20.0,26,2096.04977
-20.0,28,2099.064618
30.0,200,2119.659432
-10.0,182,2138.316715
-20.0,62,2144.800232
30.0,200,2165.572522
-30.0,147,2181.069751
10.0,200,2201.950086
-30.0,83,2210.551129
10.0,200,2231.978953
0.0,200,2253.115549
0.0,200,2274.385301
-30.0,71,2281.936812
-20.0,135,2294.893141
-20.0,75,2303.211327
10.0,200,2324.7094
0.0,200,2346.001971
-30.0,68,2353.268962
10.0,200,2374.274018
0.0,200,2395.707932
0.0,200,2417.196456
0.0,200,2438.742161
-30.0,15,2440.159186
-20.0,168,2458.395402
10.0,200,2517.646246
-30.0,63,2524.43806
10.0,200,2546.109148
0.0,200,2568.060951
-30.0,129,2582.219956
-20.0,61,2589.056233
10.0,200,2610.576602
0.0,200,2632.260388
